PlayerID,nameFirst,nameLast,FullName,DebutYear,FinalYear,Years,W,L,WPct,ERA,G,GS,GF,CG,SHO,SV,IPOuts,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BFP,WHIP,H9,HR9,BB9,SO9,SOW,SH,SF,GIDP,GG,InductionYear,votedBy
martiti01,Tippy,Martinez,Tippy Martinez,1974,1988,14,55,42,0.567010309,3.45323741,546,2,320,0,0,115,2502,834,732,357,320,53,425,57,632,8,7,58,3544,1.387290168,7.899280576,0.571942446,4.586330935,6.820143885,1.487058824,0,0,0,0,0,
martito02,Tom,Martin,Tom Martin,1997,2007,11,11,9,0.55,4.916842054,376,0,71,0,0,3,950,316.66667,339,181,173,36,143,19,224,13,1,9,1415,1.522105247,9.634736741,1.023157884,4.064210484,6.366315722,1.566433566,8,9,0,0,0,
mastewa02,Walt,Masterson,Walt Masterson,1939,1956,14,78,100,0.438202247,4.146292172,399,184,115,70,15,20,4949,1649.66667,1613,888,760,101,886,1,815,28,1,33,7281,1.514851482,8.79995957,0.551020407,4.833703769,4.44635279,0.91986456,0,0,0,0,0,
mathebo01,Bobby,Mathews,Bobby Mathews,1871,1887,15,297,248,0.544954128,2.889030872,578,568,8,525,19,3,14869,4956.33333,5591,3497,1591,69,533,0,1366,48,2,94,11929,1.235590827,10.15246487,0.125294236,0.96785258,2.480462709,2.562851782,0,0,0,0,0,
mathech01,Christy,Mathewson,Christy Mathewson,1900,1916,17,373,188,0.664884135,2.132966112,635,551,74,434,79,28,14342,4780.66667,4218,1616,1133,91,844,0,2502,59,6,114,19136,1.058848138,7.940733504,0.171315019,1.588899734,4.710221723,2.964454976,0,0,0,0,1936,BBWAA
matlajo01,Jon,Matlack,Jon Matlack,1971,1983,13,125,126,0.498007968,3.180279306,361,318,23,97,30,3,7089,2363,2276,970,835,161,638,69,1516,26,9,68,9789,1.233178163,8.668641557,0.613203555,2.429961913,5.774016081,2.376175549,0,0,0,0,0,
maulal01,Al,Maul,Al Maul,1884,1901,15,84,80,0.512195122,4.428903335,188,168,20,143,4,1,4304,1434.66667,1662,1073,706,59,518,0,346,25,4,48,1560,1.519516725,10.42611522,0.370120817,3.249535308,2.170539028,0.667953668,0,0,0,0,0,
mayja01,Jakie,May,Jakie May,1917,1932,14,72,95,0.431137725,3.876893544,410,161,150,70,7,19,4687,1562.33333,1645,808,673,35,617,0,765,88,4,31,6831,1.447834439,9.476210816,0.201621507,3.554299133,4.406870076,1.23987034,0,0,0,0,0,
mayru01,Rudy,May,Rudy May,1965,1983,16,152,156,0.493506494,3.456521739,535,360,73,87,24,12,7866,2622,2314,1150,1007,199,958,56,1760,42,18,67,10902,1.247902365,7.942791762,0.683066362,3.288329519,6.041189931,1.837160752,0,0,0,0,0,
maysca01,Carl,Mays,Carl Mays,1915,1929,15,207,126,0.621621622,2.916262139,490,325,125,231,29,31,9064,3021.33333,2912,1211,979,73,734,0,862,89,1,34,12385,1.206751987,8.674315985,0.217453663,2.1864519,2.567740515,1.174386921,0,0,0,0,0,
mcbeaal01,Al,McBean,Al McBean,1961,1970,10,67,50,0.572649573,3.130556429,409,76,186,22,5,63,3217,1072.33333,1058,430,373,63,365,56,575,30,6,35,4518,1.327012749,8.879701613,0.528753499,3.063413127,4.82592479,1.575342466,0,0,0,0,0,
mccarbr01,Brandon,McCarthy,Brandon McCarthy,2005,2015,10,55,65,0.458333333,4.134013843,211,157,13,9,4,0,3037,1012.33333,1056,505,465,123,249,19,727,23,3,18,4269,1.289101091,9.388212082,1.093513339,2.213697735,6.463286159,2.919678715,25,32,16,0,0,
mccaski01,Kirk,McCaskill,Kirk McCaskill,1985,1996,12,106,108,0.495327103,4.117408907,380,242,55,30,11,7,5187,1729,1748,876,791,154,665,35,1003,34,9,72,7405,1.395604396,9.098901099,0.801619433,3.461538462,5.220936958,1.508270677,0,0,0,0,0,
mcclubo01,Bob,McClure,Bob McClure,1975,1993,19,68,57,0.544,3.806098953,698,73,233,12,1,52,3476,1158.66667,1125,551,490,104,497,39,701,34,30,29,5005,1.399884921,8.738492495,0.807825084,3.860471796,5.445051768,1.410462777,0,0,0,0,0,
mccorji01,Jim,McCormick,Jim McCormick,1878,1887,10,265,214,0.553235908,2.431199811,492,485,6,466,33,1,12827,4275.66667,4092,2095,1155,83,749,0,1704,12,0,157,16884,1.132221095,8.613393616,0.174709597,1.576596241,3.586809072,2.275033378,0,0,0,0,0,
mccormi03,Mike,McCormick,Mike McCormick,1956,1971,16,134,128,0.511450382,3.728049298,484,333,69,91,23,12,7141,2380.33333,2281,1100,986,255,795,101,1321,24,6,75,10058,1.292255988,8.624422362,0.964150681,3.005881533,4.994678623,1.66163522,0,0,0,0,0,
mcdanli01,Lindy,McDaniel,Lindy McDaniel,1955,1975,21,141,119,0.542307692,3.453879719,987,74,577,18,2,172,6418,2139.33333,2099,934,821,172,623,136,1361,15,5,112,8971,1.272358992,8.830320986,0.723589905,2.620909945,5.725615465,2.18459069,0,0,0,0,0,
mcdermi03,Mickey,McDermott,Mickey McDermott,1948,1961,12,69,69,0.5,3.909873408,291,156,86,54,11,14,3950,1316.66667,1161,655,572,87,838,8,757,28,7,39,5801,1.518227844,7.935949347,0.594683543,5.728101251,5.174430367,0.903341289,0,0,0,0,0,
mcdowja01,Jack,McDowell,Jack McDowell,1987,1999,12,127,87,0.593457944,3.854420328,277,275,0,62,13,0,5667,1889,1854,874,809,173,606,29,1311,48,5,63,7966,1.302276337,8.833245103,0.824245633,2.887241927,6.24616199,2.163366337,0,0,0,0,0,
mcdowro01,Roger,McDowell,Roger McDowell,1985,1996,12,70,70,0.5,3.3,723,2,430,0,0,159,3150,1050,1045,454,385,50,410,98,524,28,11,37,4517,1.385714286,8.957142857,0.428571429,3.514285714,4.491428571,1.27804878,0,0,0,0,0,
mcdowsa01,Sam,McDowell,Sam McDowell,1961,1975,15,141,134,0.512727273,3.174134015,425,346,39,103,23,14,7477,2492.33333,1948,999,879,164,1312,74,2453,59,7,140,10587,1.308011236,7.034372084,0.59221613,4.737729042,8.857964436,1.869664634,0,0,0,0,0,
